EP_SMILES,FR_SMILES,CURING_SMILES,EEW,Flame_retardant_AdditionAmount(wt%),Curing_agent_AdditionAmount(wt%),Curing_Tem1,Curing_Time1,Curing_Tem2,Curing_Time2,Curing_Tem3,Curing_Time3,Curing_Tem4,Curing_Time4,Curing_Tem5,Curing_Time5,Curing_Tem6,Curing_Time6,Curing_Tem7,Curing_Time7,Curing_Tem8,Curing_Time8,Curing_Tem9,Curing_Time9,Curing_Pressure,Curing_UV
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(CO)OC(C)CO.CC(COCC(C)O)O,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,20.31,18.77,80,2,120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=COC(=C1)CO,C1CC(CCC1CC2CCC(CC2)N)N,188,13.25,20.48,80,2,120,1,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,0,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,188,0,17.94,165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(CO)OC(C)CO.CC(COCC(C)O)O,C1CC(CCC1CC2CCC(CC2)N)N,188,18.65,19.2,80,2,120,2,150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,C1CC(CCC1CC2CCC(CC2)N)N,188,5.28,22.36,80,2,120,2,150,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(CO)OC(C)CO.CC(COCC(C)O)O,CC1(CC(CC(C1)(C)CN)N)C,188,15.56,17.22,110,0.5,180,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,C1=CC=C(C=C1)/C=C/C(=O)O,C1CC(CCC1CC2CCC(CC2)N)N,188,13.82,20.34,80,2,120,2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,P(CN(CCO)CCO)(=O)(OCC)OCC,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,188,16.36,26.78,150,2,25,2,150,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(C)(C1=CC=C(OCC2CO2)C=C1)C1=CC=C(OCC2CO2)C=C1,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,188,15.1,22.4,120,2,180,2,220,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1C(C(CC2C1O2)C(=O)OCC3CO3)C(=O)OCC4CO4,C1=CC(=CC=C1N)S(=O)(=O)N=C(N)N,NC1=CC=C(CC2=CC=C(N)C=C2)C=C1,118,32.69,19.24,120,2,140,2,170,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
